symbol,interval,adjustment,fetched_at,start,end,n_rows,sha256
SPY,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,f0eff2cd0f605a1e7889641d2bf3e7959c7eccde57c188f9cd0ed7a69d91c7f9
XLK,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,276e9ad7500168291978d211c7a3c0b1d9d0bbf303629456fa0a69e55b5ab95c
XLF,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,77be46078ee4cb24cc71c76b8f889c057d37b635e370be4e8d3ae5365f0489f5
XLE,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,f8880a055da2e85274443f2fb342f6644a169be50e9a7f5c31b0e6e2b0b59a07
XLV,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,3502212b4c6c9b0d2d7e48ee290644f62a084ab6717a17fe7104cfea5b7f2bb6
XLY,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,af3cb5561b0db3d91da5d0d78e72b1d7b16860ce8be855ba085f2f4f7b5a07ad
XLP,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,94ecd7d0efdff807b95b24f737ecee9f6d66a2dd5e369ed3c7ec592e4092f2d2
XLI,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,c6a5b952e0f443f2989c6d753fd19dd57e1e996c666e2001d7a296cd03a8bd1e
XLB,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,be5f99224dedc69840775974a8ecd97827eb2df8764aeb84f6b95a5f6a54ad46
XLU,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,949847001897ad86c4091e64337570cfc8f199afeead11cf91c1430b463bca4c
QQQ,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,f096a15f04f914f4fa9d52719b29a4dbb1b213e02da20da8a1cdd86a9cfe923e
DIA,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,84872ec389670622f71477fa5d2edbf7f2bfe6378bc157d947b89e290e52809c
IWM,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,31b60d8d2bb41764929acb36355020be1d356220e883d95c87f08fc640f3cc42
IEF,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,d9783b7f722f7da3b78bd7400aecf7b016a4c5ed379480eef28aa35ace461bc2
AGG,day,split,2026-06-17T20:29:03Z,2005-01-03,2026-06-16,5396,e1a8ae8be146e91c875c043292869cca4d1d0106eb69465bfe3d0a0b9c9e0532
